"Date 2023-12-13 18.08.24","Track Silverstone (2022)","Session Type 0","Duration 0"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","13","1","64,5413970947266","","0L","2:00,990","0:35,902","0:51,062","0:34,025","+2,901","+4,353","-5,091","-2,107","OPTIMUM","Dry","26,7777132491582","27,1096801515151","26,7553119023569","26,8220478619529","81,9854846464646","92,5543519191919","83,754199983165","92,5200931144781","1","253 Km/h","22,5107766990291","0","0","0","0","0","25,74467","31,58344","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","14","1","61,3120574951172","","0L","2:01,157","0:36,025","0:51,022","0:34,110","+3,068","+4,520","-4,924","-1,940","OPTIMUM","Dry","26,8076255555556","27,1101313804714","26,740817979798","26,7711068013468","82,3153314309764","92,5773023905724","83,6214772390573","92,0077136868687","1","253 Km/h","22,2836240310078","0","0","0","0","0","25,71711","31,49911","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","15","1","58,1153106689453","","0L","2:01,057","0:35,875","0:51,092","0:34,090","+2,968","+4,420","-5,024","-2,040","OPTIMUM","Dry","26,7764093109244","27,137199512605","26,7415011260504","26,8086416134454","82,0086391092437","92,8777449579832","83,6470692773109","92,4171807394958","1","253 Km/h","23,051367690783","0","0","0","0","0","25,68924","31,4139","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","16","1","54,9269409179688","","0L","2:01,022","0:35,792","0:51,032","0:34,197","+2,933","+4,385","-5,059","-2,075","OPTIMUM","Dry","26,7701619327731","27,162586605042","26,6868659495798","26,738029394958","81,9622392605042","93,1608714453781","83,0966334789916","91,7003128235294","1","253 Km/h","23,1352259332024","0","0","0","0","0","25,66108","31,32788","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","17","1","51,7162055969238","","0L","2:00,822","0:35,842","0:50,957","0:34,022","+2,733","+4,185","-5,259","-2,275","OPTIMUM","Dry","26,77935306914","27,1319586003373","26,6964406745363","26,7319987015177","82,109746677909","92,8606894266442","83,3044297301855","91,6563548397977","1","253 Km/h","22,1720116618076","0","0","0","0","0","25,63265","31,24113","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","18","1","48,5084838867188","Invalid lap. ","0L","2:01,290","0:35,885","0:51,215","0:34,190","+3,201","+4,653","-4,791","-1,807","OPTIMUM","Dry","26,8355027181208","27,1764552013423","26,7260998657718","26,7571976677852","82,7983643456376","93,415146761745","83,7488064261745","92,1638170805369","1","253 Km/h","22,2841066140178","0","0","0","0","0","25,60382","31,15318","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","19","1","45,3096199035645","","0L","2:01,230","0:35,945","0:51,130","0:34,155","+3,141","+4,593","-4,851","-1,867","OPTIMUM","Dry","26,8244391764706","27,1536824705882","26,6965147563025","26,6859110420168","82,7024273109244","93,3051840672269","83,4599396134454","91,7732899327731","1","254 Km/h","22,1011869436202","0","0","0","0","0","25,57471","31,06447","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","20","1","42,0920715332031","Invalid lap. ","0L","2:01,440","0:35,867","0:51,377","0:34,195","+3,351","+4,803","-4,641","-1,657","OPTIMUM","Dry","26,8237999327731","27,1648631932773","26,6954931764706","26,6776675798319","82,7152902857143","93,4411771092437","83,4688208067227","91,706941697479","1","253 Km/h","21,4020833333333","0","0","0","0","0","25,54523","30,9747","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","21","1","38,9000816345215","","0L","2:01,077","0:35,985","0:51,010","0:34,082","+2,988","+4,440","-5,004","-2,020","OPTIMUM","Dry","26,7946993602694","27,0919562289562","26,6848867171717","26,6237673737374","82,4318961952862","93,2380072558923","83,3780671548822","91,6178042929293","1","253 Km/h","22,0681146744412","0","0","0","0","0","25,51552","30,88431","0","2","31","Regular","0"
"Aston Martin Vantage AMR GT3","22","Ville Synkkänen (SYN)","Ted","22","1","35,6778221130371","","0L","2:01,257","0:35,937","0:51,155","0:34,165","+3,168","+4,620","-4,824","-1,840","OPTIMUM","Dry","26,8367782857143","27,0862846554622","26,650993697479","26,5729089579832","82,8901396638656","93,3476989243698","83,0449409411765","91,2335103193277","1","254 Km/h","23,0900590551181","0","0","0","0","0","25,48549","30,79303","0","2","31","Regular","0"
