"Date 2023-11-25 15.14.42","Track Watkins Glen (2022)","Session Type 10","Duration 10"
"Car","Race #","Driver","Team","Lap","Position","Fuel","Penalty","Gap","Lap Time","Sector 1","Sector 2","Sector 3","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pressure FR","Pressure FL","Pressure RR","Pressure RL","Temp FR","Temp FL","Temp RR","Temp RL","ECU Mode","Max Speed","Peak Acceleration","Damage Front","Damage Rear","Damage Centre","Damage Right","Damage Left","Air Temp","Road Temp","Cup","Category","Nationality","Lap type","Accidents"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","14","39","49,5849533081055","","0L","1:54,972","0:32,230","0:37,820","0:44,922","+8,354","+10,158","-0,365","+6,731","OPTIMUM","Dry","27,0580337205082","27,0616976406534","27,0628618511797","27,2255968058076","69,259673030853","80,5530400181488","81,2080041742287","88,6285666424682","1","246 Km/h","14,4806171648987","1,360366","2,476251","3,836617","0","0","22,92123","30,59818","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","15","39","47,2664070129395","","0L","1:54,837","0:32,047","0:38,205","0:44,585","+8,219","+10,023","-0,500","+6,596","OPTIMUM","Dry","27,0130097454545","26,9898040181818","27,0495782727273","27,1941248181818","68,7872624727273","79,8007413272727","81,0662247818182","88,2973225090909","1","247 Km/h","14,347729468599","1,360366","2,476251","3,836617","0","0","22,92617","30,61314","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","16","39","44,9199066162109","","0L","1:54,680","0:32,055","0:38,052","0:44,572","+8,062","+9,866","-0,657","+6,439","OPTIMUM","Dry","27,0374666302368","27,0249424043716","27,0843861202186","27,2368704371585","69,0388793806922","80,1636216029144","81,4256626593807","88,7394435883424","1","249 Km/h","14,4614864864865","1,360366","2,476251","3,836617","0","0","22,9307","30,62692","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","17","39","42,5824279785156","","0L","1:55,022","0:32,137","0:37,972","0:44,912","+8,404","+10,208","-0,315","+6,781","OPTIMUM","Dry","27,0697103454545","27,0049696727273","27,1178313454545","27,2461249272727","69,4913259636364","79,9526794545455","81,7711618545455","88,8329559454546","1","249 Km/h","15,1103547459252","1,360366","2,476251","3,836617","0","0","22,93485","30,63954","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","18","39","40,2522964477539","","0L","1:54,440","0:32,070","0:37,877","0:44,492","+7,822","+9,626","-0,897","+6,199","OPTIMUM","Dry","26,9531347810219","27,0200295985401","27,1308315510949","27,2576511313869","69,2371488868613","80,106934379562","81,9039584306569","88,950399689781","1","247 Km/h","14,2032007759457","1,360366","2,476251","3,836617","0","0","22,93859","30,65098","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","19","40","37,9077033996582","","0L","1:54,625","0:32,117","0:37,687","0:44,820","+8,007","+9,811","-0,712","+6,384","OPTIMUM","Dry","26,9022266605839","26,9939371532847","27,0776157846715","27,2391784854015","69,1212643795621","79,8327889051095","81,594093959854","88,755627080292","1","248 Km/h","16,6179457364341","1,790189","2,476251","5,710962","0","1,444522","22,94193","30,66122","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","20","39","35,5854682922363","","0L","1:57,372","0:32,265","0:39,045","0:46,062","+10,754","+12,558","+2,035","+9,131","OPTIMUM","Dry","26,8602801067616","26,9452287366548","26,9995765302491","27,1737223309609","68,6822162099644","79,3233054804271","81,0223166725979","88,0716872775801","1","248 Km/h","15,0925501432665","1,790189","2,476251","5,710962","0","1,444522","22,945","30,67066","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","21","39","33,265007019043","","0L","1:55,807","0:32,380","0:38,292","0:45,135","+9,189","+10,993","+0,470","+7,566","OPTIMUM","Dry","26,8401815370705","26,8373358047016","26,9757598191682","27,1005293851718","68,4710049367089","78,1975726401447","80,7723707594937","87,3074108860759","1","247 Km/h","15,3557237464522","1,790189","2,476251","5,710962","0","1,444522","22,94752","30,67848","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","22","39","30,9205226898193","","0L","1:54,725","0:32,250","0:37,840","0:44,635","+8,107","+9,911","-0,612","+6,484","OPTIMUM","Dry","26,8849729562044","26,9061506021898","27,0417135948905","27,2049323175182","68,9360302372263","78,9128381569343","81,4578397627737","88,3933874270073","1","246 Km/h","14,3928705440901","1,790189","2,476251","5,710962","0","1,444522","22,94963","30,6851","0","3","31","Regular","0"
"Alpine A110 GT4","303","Ville Synkkanen (SYN)","","23","39","28,6147994995117","","0L","1:54,860","0:32,015","0:38,345","0:44,500","+8,242","+10,046","-0,477","+6,619","OPTIMUM","Dry","26,8752176277372","26,8525834124088","27,0750075182482","27,2555970985401","68,8331398540146","79,0892439781022","81,8033729014599","88,9997278832117","1","248 Km/h","14,4955492424242","1,790189","2,476251","5,710962","0","1,444522","22,95134","30,69052","0","3","31","Regular","0"
